switch type
fa002-du009.f02 FADU
ssw003.s004.f01 SSW
fsw003.p015.f01 FSW
ssw021.s001.f02 SSW
fsw001.p032.f01 FSW
fsw004.p001.f01 FSW
fsw002.p013.f01 FSW
fsw003.p025.f02 FSW
fsw003.p027.f02 FSW
fa002-du004.f01 FADU
fsw002.p031.f02 FSW
fsw003.p021.f01 FSW
ssw020.s004.f01 SSW
ssw016.s003.f01 SSW
fsw001.p025.f02 FSW
ssw018.s001.f02 SSW
fsw001.p007.f01 FSW
fa003-du001.f02 FADU
fsw004.p002.f02 FSW
ssw020.s001.f02 SSW
fa001-du007.f02 FADU
fsw001.p029.f02 FSW
fsw002.p002.f01 FSW
fa001-du001.f01 FADU
ssw005.s001.f02 SSW
fsw001.p021.f01 FSW
fa004-uu004.f01 FAUU
fsw001.p023.f02 FSW
fa004-du005.f02 FADU
fa004-du008.f02 FADU
fa001-du009.f02 FADU
fa002-du010.f02 FADU
fsw004.p025.f02 FSW
fsw001.p003.f01 FSW
fsw003.p023.f02 FSW
fsw003.p001.f01 FSW
fsw003.p018.f01 FSW
fa004-uu002.f01 FAUU
ssw008.s004.f02 SSW
ssw024.s004.f01 SSW
ssw020.s003.f02 SSW
ssw005.s004.f01 SSW
fsw001.p004.f01 FSW
fsw004.p027.f02 FSW
fsw002.p021.f02 FSW
fa001-du008.f02 FADU
ssw005.s002.f02 SSW
ssw001.s003.f02 SSW
fsw002.p032.f02 FSW
fsw004.p006.f02 FSW
ssw002.s001.f02 SSW
ssw023.s003.f02 SSW
fsw001.p027.f01 FSW
fa004-du004.f02 FADU
fa001-du002.f02 FADU
fsw002.p026.f02 FSW
fa001-du002.f01 FADU
fsw001.p020.f01 FSW
ssw004.s001.f01 SSW
fsw004.p029.f02 FSW
fsw001.p014.f01 FSW
rsw.f02 RSW
fa003-du009.f02 FADU
fsw001.p016.f01 FSW
ssw022.s004.f02 SSW
fsw001.p031.f01 FSW
fa001-du012.f02 FADU
ssw003.s004.f02 SSW
ssw022.s001.f01 SSW
ssw003.s002.f01 SSW
fa004-du001.f02 FADU
fa003-du003.f02 FADU
fsw003.p027.f01 FSW
fsw003.p012.f01 FSW
fsw003.p009.f01 FSW
fsw002.p020.f01 FSW
ssw001.s001.f02 SSW
ssw022.s004.f01 SSW
ssw010.s004.f01 SSW
ssw019.s003.f02 SSW
fsw001.p001.f02 FSW
fsw003.p021.f02 FSW
fsw002.p022.f01 FSW
fsw004.p030.f01 FSW
ssw023.s001.f02 SSW
ssw017.s002.f02 SSW
ssw024.s002.f02 SSW
fsw004.p018.f01 FSW
ssw023.s002.f01 SSW
fsw002.p028.f02 FSW
ssw005.s003.f02 SSW
fsw001.p002.f02 FSW
fsw003.p004.f01 FSW
ssw016.s002.f01 SSW
fsw003.p032.f01 FSW
ssw020.s002.f02 SSW
ssw017.s001.f01 SSW
fsw003.p029.f01 FSW
fsw001.p002.f01 FSW
fsw003.p017.f02 FSW
fsw001.p009.f01 FSW
fsw002.p023.f02 FSW
ssw023.s003.f01 SSW
fsw002.p003.f02 FSW
fsw003.p031.f01 FSW
fsw001.p005.f02 FSW
fsw003.p030.f01 FSW
fa002-du006.f02 FADU
ssw011.s002.f01 SSW
ssw006.s001.f02 SSW
ssw006.s004.f01 SSW
fsw003.p008.f02 FSW
fsw002.p017.f02 FSW
ssw018.s004.f01 SSW
fa002-du007.f01 FADU
fa002-du006.f01 FADU
ssw022.s001.f02 SSW
fsw004.p009.f01 FSW
fsw001.p012.f01 FSW
ssw004.s002.f02 SSW
ssw020.s003.f01 SSW
rsw.f01 RSW
fsw001.p024.f01 FSW
fa004-uu003.f02 FAUU
fsw004.p016.f02 FSW
fsw004.p016.f01 FSW
ssw007.s001.f02 SSW
fa003-uu004.f02 FAUU
ssw003.s001.f02 SSW
fa002-uu003.f02 FAUU
fsw003.p012.f02 FSW
fsw003.p032.f02 FSW
fsw003.p031.f02 FSW
ssw024.s003.f01 SSW
fsw001.p019.f01 FSW
fa004-du009.f02 FADU
ssw016.s004.f02 SSW
fsw004.p020.f01 FSW
fsw001.p004.f02 FSW
fsw001.p026.f01 FSW
fsw003.p024.f01 FSW
fsw004.p031.f02 FSW
fsw001.p003.f02 FSW
fsw002.p020.f02 FSW
fsw001.p032.f02 FSW
fsw003.p023.f01 FSW
fsw003.p011.f02 FSW
ssw015.s004.f01 SSW
ssw017.s004.f01 SSW
fsw002.p030.f02 FSW
ssw008.s001.f02 SSW
ssw013.s001.f01 SSW
ssw015.s002.f02 SSW
fsw002.p029.f02 FSW
fa001-du010.f01 FADU
fsw003.p030.f02 FSW
ssw012.s004.f02 SSW
fsw004.p007.f01 FSW
ssw021.s003.f02 SSW
fa004-du001.f01 FADU
ssw001.s002.f02 SSW
ssw006.s003.f01 SSW
ssw002.s002.f02 SSW
ssw019.s004.f01 SSW
ssw013.s002.f02 SSW
fsw002.p005.f01 FSW
ssw004.s004.f01 SSW
fsw004.p017.f02 FSW
ssw010.s002.f01 SSW
fsw003.p013.f02 FSW
fsw004.p022.f02 FSW
fa003-du008.f02 FADU
fsw004.p022.f01 FSW
ssw009.s002.f01 SSW
ssw008.s002.f01 SSW
fsw004.p021.f01 FSW
fsw002.p025.f02 FSW
fsw003.p007.f02 FSW
fsw001.p030.f01 FSW
ssw011.s001.f02 SSW
fa001-uu002.f01 FAUU
fsw002.p010.f02 FSW
ssw017.s003.f02 SSW
fa003-du008.f01 FADU
fsw001.p028.f02 FSW
fa002-du001.f01 FADU
fsw001.p017.f02 FSW
ssw007.s003.f01 SSW
ssw004.s003.f01 SSW
fsw004.p027.f01 FSW
fa003-du010.f02 FADU
fa004-du004.f01 FADU
fsw002.p013.f02 FSW
ssw013.s003.f01 SSW
fsw004.p026.f01 FSW
ssw015.s002.f01 SSW
fa004-du006.f02 FADU
fsw004.p003.f02 FSW
fsw004.p014.f01 FSW
fa002-uu004.f01 FAUU
fa003-du012.f01 FADU
ssw012.s003.f02 SSW
fsw003.p019.f01 FSW
fsw004.p030.f02 FSW
fsw002.p003.f01 FSW
fsw002.p024.f02 FSW
fa001-du008.f01 FADU
ssw023.s001.f01 SSW
fsw004.p006.f01 FSW
fsw001.p030.f02 FSW
ssw001.s003.f01 SSW
ssw012.s001.f02 SSW
fsw003.p022.f02 FSW
ssw022.s003.f01 SSW
fa002-du003.f01 FADU
fsw002.p027.f01 FSW
fsw003.p018.f02 FSW
fsw001.p014.f02 FSW
fa004-du002.f02 FADU
ssw014.s004.f02 SSW
fsw001.p022.f01 FSW
fa001-uu004.f01 FAUU
fsw002.p026.f01 FSW
ssw009.s001.f02 SSW
fsw004.p029.f01 FSW
fa003-du011.f01 FADU
ssw015.s003.f01 SSW
ssw018.s001.f01 SSW
ssw010.s003.f02 SSW
ssw006.s004.f02 SSW
fsw003.p007.f01 FSW
fa002-du009.f01 FADU
fsw002.p005.f02 FSW
ssw019.s002.f01 SSW
fsw002.p006.f02 FSW
fsw001.p017.f01 FSW
fa001-du006.f01 FADU
fsw002.p030.f01 FSW
fa001-uu004.f02 FAUU
ssw018.s002.f02 SSW
fa003-du003.f01 FADU
fa002-du005.f02 FADU
fsw001.p022.f02 FSW
fa004-uu003.f01 FAUU
fsw003.p020.f01 FSW
fsw004.p023.f02 FSW
fsw002.p032.f01 FSW
fa003-uu001.f02 FAUU
fsw004.p001.f02 FSW
fsw003.p022.f01 FSW
fa004-du012.f01 FADU
fsw004.p024.f01 FSW
ssw013.s001.f02 SSW
fsw001.p015.f02 FSW
ssw019.s002.f02 SSW
ssw012.s002.f01 SSW
fsw003.p024.f02 FSW
fsw002.p031.f01 FSW
fa004-du011.f01 FADU
fa002-du002.f02 FADU
ssw021.s002.f01 SSW
ssw013.s002.f01 SSW
ssw021.s003.f01 SSW
fsw002.p009.f02 FSW
fsw004.p002.f01 FSW
fsw003.p005.f01 FSW
fa003-du002.f02 FADU
ssw021.s004.f02 SSW
fsw001.p028.f01 FSW
fa002-du003.f02 FADU
fsw001.p012.f02 FSW
fsw001.p029.f01 FSW
fsw004.p019.f02 FSW
fsw002.p009.f01 FSW
fsw003.p026.f01 FSW
fa002-du001.f02 FADU
ssw018.s004.f02 SSW
ssw010.s001.f01 SSW
fsw001.p010.f01 FSW
ssw005.s003.f01 SSW
ssw013.s004.f02 SSW
fsw002.p022.f02 FSW
fa001-du004.f02 FADU
fsw003.p011.f01 FSW
ssw013.s004.f01 SSW
ssw011.s003.f01 SSW
fa004-du008.f01 FADU
fsw002.p029.f01 FSW
fa002-du011.f01 FADU
fsw001.p011.f01 FSW
ssw006.s003.f02 SSW
ssw004.s003.f02 SSW
fa001-du005.f01 FADU
ssw011.s001.f01 SSW
fsw004.p025.f01 FSW
fsw002.p025.f01 FSW
fa002-du012.f02 FADU
fa002-uu002.f02 FAUU
fsw004.p028.f02 FSW
ssw012.s003.f01 SSW
ssw023.s002.f02 SSW
fsw001.p006.f02 FSW
fsw003.p002.f02 FSW
ssw020.s004.f02 SSW
fa003-du007.f01 FADU
fsw003.p028.f02 FSW
fsw004.p020.f02 FSW
ssw023.s004.f01 SSW
fsw004.p032.f01 FSW
ssw016.s001.f01 SSW
fa002-uu001.f02 FAUU
ssw015.s004.f02 SSW
fsw004.p004.f02 FSW
fsw003.p016.f01 FSW
ssw003.s002.f02 SSW
ssw007.s003.f02 SSW
fsw003.p005.f02 FSW
fsw002.p008.f02 FSW
fa004-du009.f01 FADU
ssw009.s003.f01 SSW
fa001-du011.f02 FADU
fsw002.p016.f01 FSW
fsw002.p008.f01 FSW
ssw014.s003.f01 SSW
ssw024.s001.f01 SSW
ssw014.s003.f02 SSW
fa001-uu003.f02 FAUU
fsw002.p019.f01 FSW
fsw003.p016.f02 FSW
fa001-du001.f02 FADU
fsw002.p015.f01 FSW
fsw004.p017.f01 FSW
ssw014.s001.f01 SSW
ssw011.s003.f02 SSW
ssw001.s001.f01 SSW
fa004-du007.f02 FADU
ssw001.s002.f01 SSW
ssw021.s001.f01 SSW
fa003-du002.f01 FADU
fa003-du005.f02 FADU
fsw001.p005.f01 FSW
fsw002.p027.f02 FSW
fa001-du007.f01 FADU
fa002-du002.f01 FADU
ssw021.s004.f01 SSW
ssw002.s001.f01 SSW
fsw001.p001.f01 FSW
ssw017.s001.f02 SSW
fsw003.p019.f02 FSW
ssw011.s004.f02 SSW
ssw010.s001.f02 SSW
ssw002.s003.f02 SSW
fa003-du006.f02 FADU
fsw004.p024.f02 FSW
ssw005.s004.f02 SSW
fsw003.p006.f01 FSW
fsw004.p008.f02 FSW
fsw003.p008.f01 FSW
fsw004.p005.f01 FSW
fa002-du008.f01 FADU
fa004-du011.f02 FADU
ssw014.s002.f02 SSW
fa001-du003.f01 FADU
fa001-uu003.f01 FAUU
fa001-uu001.f02 FAUU
fsw002.p018.f01 FSW
fsw004.p015.f01 FSW
fa003-du004.f01 FADU
fa004-uu002.f02 FAUU
fa003-du001.f01 FADU
fa004-uu001.f01 FAUU
fsw004.p008.f01 FSW
fa002-uu004.f02 FAUU
fsw002.p001.f02 FSW
fsw002.p017.f01 FSW
fa003-uu004.f01 FAUU
ssw003.s001.f01 SSW
fsw002.p010.f01 FSW
fsw004.p012.f01 FSW
ssw008.s003.f02 SSW
fsw003.p010.f02 FSW
ssw019.s004.f02 SSW
fsw002.p014.f01 FSW
fa001-uu002.f02 FAUU
ssw022.s003.f02 SSW
ssw003.s003.f01 SSW
fsw002.p018.f02 FSW
fsw001.p027.f02 FSW
fsw002.p007.f02 FSW
fa002-du007.f02 FADU
fa003-uu003.f02 FAUU
fsw003.p020.f02 FSW
fsw004.p013.f01 FSW
fsw001.p008.f02 FSW
fsw004.p011.f02 FSW
ssw008.s002.f02 SSW
ssw020.s001.f01 SSW
fa003-du009.f01 FADU
fsw004.p003.f01 FSW
fsw002.p028.f01 FSW
fsw001.p020.f02 FSW
fa004-du010.f02 FADU
fsw003.p013.f01 FSW
fsw002.p021.f01 FSW
fa002-du011.f02 FADU
fsw001.p006.f01 FSW
