Initial Topology,,,,Target Topology,,
ssw001.s001.f02,fa001.du001.f01,100000000000.0,,ssw001.s001.f02,fa001.du001.f03,100000000000.0
ssw001.s001.f02,fa001.du001.f02,100000000000.0,,ssw001.s001.f02,fa001.du001.f04,100000000000.0
ssw001.s001.f02,fa002.du001.f01,100000000000.0,,ssw001.s001.f02,fa002.du001.f03,100000000000.0
ssw001.s001.f02,fa002.du001.f02,100000000000.0,,ssw001.s001.f02,fa002.du001.f04,100000000000.0
ssw001.s002.f01,fa001.du001.f01,100000000000.0,,ssw001.s002.f01,fa001.du001.f03,100000000000.0
ssw001.s002.f01,fa001.du001.f02,100000000000.0,,ssw001.s002.f01,fa001.du001.f04,100000000000.0
ssw001.s002.f01,fa002.du001.f01,100000000000.0,,ssw001.s002.f01,fa002.du001.f03,100000000000.0
ssw001.s002.f01,fa002.du001.f02,100000000000.0,,ssw001.s002.f01,fa002.du001.f04,100000000000.0
ssw001.s002.f02,fa001.du001.f01,100000000000.0,,ssw001.s002.f02,fa001.du001.f03,100000000000.0
ssw001.s002.f02,fa001.du001.f02,100000000000.0,,ssw001.s002.f02,fa001.du001.f04,100000000000.0
ssw001.s002.f02,fa002.du001.f01,100000000000.0,,ssw001.s002.f02,fa002.du001.f03,100000000000.0
ssw001.s002.f02,fa002.du001.f02,100000000000.0,,ssw001.s002.f02,fa002.du001.f04,100000000000.0
ssw002.s001.f01,fa001.du002.f01,100000000000.0,,ssw002.s001.f01,fa001.du002.f03,100000000000.0
ssw002.s001.f01,fa001.du002.f02,100000000000.0,,ssw002.s001.f01,fa001.du002.f04,100000000000.0
ssw002.s001.f01,fa002.du002.f01,100000000000.0,,ssw002.s001.f01,fa002.du002.f03,100000000000.0
ssw002.s001.f01,fa002.du002.f02,100000000000.0,,ssw002.s001.f01,fa002.du002.f04,100000000000.0
ssw002.s001.f02,fa001.du002.f01,100000000000.0,,ssw002.s001.f02,fa001.du002.f03,100000000000.0
ssw002.s001.f02,fa001.du002.f02,100000000000.0,,ssw002.s001.f02,fa001.du002.f04,100000000000.0
ssw002.s001.f02,fa002.du002.f01,100000000000.0,,ssw002.s001.f02,fa002.du002.f03,100000000000.0
ssw002.s001.f02,fa002.du002.f02,100000000000.0,,ssw002.s001.f02,fa002.du002.f04,100000000000.0
ssw002.s002.f01,fa001.du002.f01,100000000000.0,,ssw002.s002.f01,fa001.du002.f03,100000000000.0
ssw002.s002.f01,fa001.du002.f02,100000000000.0,,ssw002.s002.f01,fa001.du002.f04,100000000000.0
ssw002.s002.f01,fa002.du002.f01,100000000000.0,,ssw002.s002.f01,fa002.du002.f03,100000000000.0
ssw002.s002.f01,fa002.du002.f02,100000000000.0,,ssw002.s002.f01,fa002.du002.f04,100000000000.0
ssw002.s002.f02,fa001.du002.f01,100000000000.0,,ssw002.s002.f02,fa001.du002.f03,100000000000.0
ssw002.s002.f02,fa001.du002.f02,100000000000.0,,ssw002.s002.f02,fa001.du002.f04,100000000000.0
ssw002.s002.f02,fa002.du002.f01,100000000000.0,,ssw002.s002.f02,fa002.du002.f03,100000000000.0
ssw002.s002.f02,fa002.du002.f02,100000000000.0,,ssw002.s002.f02,fa002.du002.f04,100000000000.0
fsw001.p001.f01,ssw001.s001.f01,100000000000.0,,fsw001.p001.f01,ssw001.s001.f01,100000000000.0
fsw001.p001.f01,ssw002.s001.f01,100000000000.0,,fsw001.p001.f01,ssw002.s001.f01,100000000000.0
fsw001.p001.f02,ssw001.s001.f02,100000000000.0,,fsw001.p001.f02,ssw001.s001.f02,100000000000.0
fsw001.p001.f02,ssw002.s001.f02,100000000000.0,,fsw001.p001.f02,ssw002.s001.f02,100000000000.0
fsw001.p002.f01,ssw001.s001.f01,100000000000.0,,fsw001.p002.f01,ssw001.s001.f01,100000000000.0
fsw001.p002.f01,ssw002.s001.f01,100000000000.0,,fsw001.p002.f01,ssw002.s001.f01,100000000000.0
fsw001.p002.f02,ssw001.s001.f02,100000000000.0,,fsw001.p002.f02,ssw001.s001.f02,100000000000.0
fsw001.p002.f02,ssw002.s001.f02,100000000000.0,,fsw001.p002.f02,ssw002.s001.f02,100000000000.0
fsw002.p001.f01,ssw001.s002.f01,100000000000.0,,fsw002.p001.f01,ssw001.s002.f01,100000000000.0
fsw002.p001.f01,ssw002.s002.f01,100000000000.0,,fsw002.p001.f01,ssw002.s002.f01,100000000000.0
fsw002.p001.f02,ssw001.s002.f02,100000000000.0,,fsw002.p001.f02,ssw001.s002.f02,100000000000.0
fsw002.p001.f02,ssw002.s002.f02,100000000000.0,,fsw002.p001.f02,ssw002.s002.f02,100000000000.0
fsw002.p002.f01,ssw001.s002.f01,100000000000.0,,fsw002.p002.f01,ssw001.s002.f01,100000000000.0
fsw002.p002.f01,ssw002.s002.f01,100000000000.0,,fsw002.p002.f01,ssw002.s002.f01,100000000000.0
fsw002.p002.f02,ssw001.s002.f02,100000000000.0,,fsw002.p002.f02,ssw001.s002.f02,100000000000.0
fsw002.p002.f02,ssw002.s002.f02,100000000000.0,,fsw002.p002.f02,ssw002.s002.f02,100000000000.0
rsw.f01,fsw001.p001.f01,400000000000.0,,rsw.f01,fsw001.p001.f01,400000000000.0
rsw.f01,fsw001.p002.f01,400000000000.0,,rsw.f01,fsw001.p002.f01,400000000000.0
rsw.f01,fsw002.p001.f01,400000000000.0,,rsw.f01,fsw002.p001.f01,400000000000.0
rsw.f01,fsw002.p002.f01,400000000000.0,,rsw.f01,fsw002.p002.f01,400000000000.0
rsw.f02,fsw001.p001.f02,400000000000.0,,rsw.f02,fsw001.p001.f02,400000000000.0
rsw.f02,fsw001.p002.f02,400000000000.0,,rsw.f02,fsw001.p002.f02,400000000000.0
rsw.f02,fsw002.p001.f02,400000000000.0,,rsw.f02,fsw002.p001.f02,400000000000.0
rsw.f02,fsw002.p002.f02,400000000000.0,,rsw.f02,fsw002.p002.f02,400000000000.0
